dcSubjectLangAware.en,dctermsSpatial,edmTimespanLabelLangAware.en,edmConceptPrefLabelLangAware.en,year,type,title,provider,dataProvider,country,completeness
['World War I'],,['21st century'],['World War I'],,TEXT,"['FRAD022 - Yves-Marie MENGUY', 'documents from Yves Marie MENGUY']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life', 'Women']","['Vosges, Chemin des Dames', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['FRAD071-026 Claude Maxime CADOT (1886-1965), de Baudrières (Saône-et-Loire)', 'Documents from Claude Maxime CADOT']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/44bc9b422db1311cf75d836c1f2a9f65', 'Middle East']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['histoire ordinaire de deux fiancés entre 1914 et 1918', 'Letters between two fiancés from 1914 to 1918']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1916', '1918']",TEXT,"['FRAD017 - Histoire de Jules Chasseriaud', 'Histoire de Jules Chasseriaud']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/2e2f2fd63d348de9629e56ecc8283adc', 'Naval Warfare']","['21st century', '20th century']",['World War I'],,TEXT,"['FRBMAN - 027 Léon Douspis, électricien T. S. F.', 'Léon Douspis, wireless telegraphy electrician']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']",['Western Front'],['21st century'],['World War I'],,TEXT,"['FRAD078-011 Mon grand- père, Victor Dreneau, et ses objets de tranchées', 'Artefacts from the War.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/0fda076a68074e94295ace157a00ded5', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAM - Carrière de Victorin CONTE', 'Documents from Victorin CONTE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Remembrance']","['europeana19141918:place/2c220bf8a14b770f5b073f193493fda9', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Carnet, photos, médailles et lettre de René COISY', 'diary, medals and letters of René COISY']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']",['Western Front'],['21st century'],['World War I'],,TEXT,"['FRAD033-015 Histoire de Célestin Francisoud', 'Documents from Célestin Francisoud']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']",,['21st century'],['World War I'],,TEXT,"['FRAD062_030 - Désiré Tahon, médaillé de la Grande Guerre.', ""FRAD062_030 - Désiré Tahon's medals.""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
